neurotransmitter,description,gene,detection_method,localization,references
dopamine,Quinoid Dihydropterin Reductase (QDPR) 17,qdpr-1 16,Reporter transgenics,"CEP , other unidentified cells; see also 5HT neurons","Zhang et al., 2014 ; Loer et al., 2015"
dopamine,Vesicular Monoamine Transporter (VMAT),cat-1,Antibody 19,"CEP , ADE , PDE ; see also 5HT , OA , and TA neurons","Duerr et al., 1999"
dopamine,VMAT,cat-1,Reporter transgenics,"CEP , ADE , PDE , R5A (m), R9A (m); see also 5HT , OA , and TA neurons","Flames & Hobert, 2009"
dopamine,VMAT,cat-1,Reporter transgenics (fosmid 3 ),"CEP , ADE , PDE , R5A (m), R7A (m), R9A (m); see also 5HT , OA , and TA neurons","Serrano-Saiz et al., 2017"
dopamine,VMAT,cat-1,Uptake assay 21,NA - heterologous expression (CV-1 cells),"Duerr et al., 1999"
dopamine,(Plasma Membrane) Dopamine  Transporter (DAT),dat-1,Reporter transgenics,"CEP , ADE , PDE , R5A (m), R7A (m), R9A (m)","Nass et al., 2001 ; Nass et al., 2002 ; Flames & Hobert, 2009"
dopamine,DAT,dat-1,Antibody,"CEP , ADE , PDE (rare)","McDonald et al, 2007"
dopamine,DAT,dat-1,Uptake assay 22,NA - heterologous expression (HeLa cells),"Jayanthi et al., 1998"
dopamine,DAT,dat-1,"Uptake assay, patch clamping recording 23","Heterologous expression (tsA-201 cells) and
    cultured embryonic C. elegans dopaminergic neurons (P dat-1 ::GFP  cells)","Carvelli et al., 2004"
dopamine,Arylalkylamine N-Acetyltransferase (AA-NAT),anat-1 ?,Enzymatic assay,Whole animal,"Migliori et al., 2012"
dopamine,Monoamine Oxidase (MAO),amx-1 25,Reporter transgenics,"~30 head and tail neurons including ASJ , IL2 , other amphid neurons; PHA , PHB , 3 other tail neurons; not expressed in dopaminergic cells. Expressed in nearly all cells in the embryo.","Filkin et al., 2007 ; Kaushal 2008"
dopamine,MAO,amx-2 25,Reporter transgenics,"4 pairs amphid neurons: ASJ , and most likely ASH , ASE , AWB , PHA , PHB","Hostettler et al., 2017"
dopamine,MAO,amx-2 25,Reporter transgenics,"Intestine , neurons","Filkin et al., 2007"
dopamine,Aldehyde Dehydrogenase (ALDH),alh-1 26,Reporter transgenics,"Nervous system , including head neurons, neurons along body, PVT , intestine , head mesodermal cell , rectal gland cells, etc.","McKay et al., 2003 27"
dopamine,ALDH,alh-6 26,Reporter transgenics,"Body wall muscle , hypodermis , unidentified cells in head, unidentified cells in tail (adult)","McKay et al., 2003 27"
dopamine,Succinic Semialdehyde Dehydrogenase (SSADH),alh-7 26,Reporter transgenics,"Intestine , rectal gland cells, nervous system , head neurons (adult)","McKay et al., 2003 27"
dopamine,ALDH,alh-10 26,Reporter transgenics,"Intestine , nervous system , tail neurons (adult)","McKay et al., 2003 27"
tyramine/octopamine,TA,NA,TLC,Whole animal,"Alkema et al., 2005"
tyramine/octopamine,OA,NA,Radioenzymatic assay 28,Whole animal,"Horvitz et al., 1982"
tyramine/octopamine,OA,NA,HPLC + ED,Whole animal,"Alkema et al., 2005"
tyramine/octopamine,Tyrosine Decarboxylase (TDC),tdc-1,Enzymatic assay,Whole animal,"Alkema et al., 2005"
tyramine/octopamine,TDC,tdc-1,"Reporter transgenics, Antibody","RIC , RIM , uv1 29 , gonadal sheath cells","Alkema et al., 2005"
tyramine/octopamine,TDC,tdc-1,Reporter transgenics,"RIC , RIM , HOA (m), R8A (m) 30 , R8B (m) 30","Serrano-Saiz et al., 2017"
tyramine/octopamine,Tyramine Beta-Hydroxylase (TBH),tbh-1,"Reporter transgenics, Antibody","RIC , gonadal sheath cells","Alkema et al., 2005 ; Suo et al., 2006"
tyramine/octopamine,Vesicular Monoamine Transporter (VMAT) 18,cat-1,Reporter transgenics,"RIC ; see also dopaminergic , 5HT neurons","Duerr et al., 1999"
tyramine/octopamine,VMAT,cat-1,Reporter transgenics (fosmid 3 ),"RIC , RIM , HOA (m); see also dopaminergic , 5HT neurons","Serrano-Saiz et al., 2017"
tyramine/octopamine,VMAT,cat-1,Antibody 19,"RIC ; see also dopaminergic , 5HT neurons","Duerr et al., 1999"
tyramine/octopamine,VMAT,cat-1,Uptake assay 21,TA and OA are competitive inhibitors of dopamine and 5HT uptake by CAT-1 in  heterologous expression (CV-1 cells).,"Duerr et al., 1999"
serotonin,5HT,NA,HPLC + ED,Whole animal,"Sanyal et al., 2004"
serotonin,5HT,NA,HPLC + ED,Whole animal,"Wang et al., 2017"
serotonin,5HT,NA,Formaldehyde induced fluorescence (FIF) 31,NSM,"Horvitz et al., 1982"
serotonin,5HT,NA,Glyoxylic acid induced fluorescence (GAIF) 32,"NSM , ADF , AIM , RIH , HSN (h), VC4-5 (h)","Duerr et al., 1999"
serotonin,5HT,NA,Antibody,"NSM , ADF , AIM , RIH , HSN (h), VC4-5 (h) 33 , CA1-4 (m) 34 , CP1-6 (m), RPAG(m) 36 , R1B (m), R3B (m), R9B (m)","Desai et al., 1988 ; Loer & Kenyon, 1993 ; Duerr et al., 1999 ; Jia & Emmons, 2006"
serotonin,5HT,NA,Antibody,ASG 23,"Pocock & Hobert, 2010"
serotonin,5HT,NA,Antibody,"Extracellular 5HT-immunoreactivity observed following optogenetic stimulation of NSM , ADF [ traditional criterion - stimulation-dependent release].","Tatum et al., 2015"
serotonin,5HT,NA,Antibody,"NSM , ADF , AIM 4,35 , RIH , URX (weak) 35 , I5 (weak) 35 , CEM (m,weak) 35 , HSN (h), CP1-6 (m), PGA (m) 36 , PVW (m, weak) 37 , R1B (m, weak), R3B (m), R9B (m)","Serrano-Saiz et al., 2017"
serotonin,Tryptophan Hydroxylase (TPH),tph-1,Reporter transgenics,"NSM , ADF , [ AIM , RIH ] 39 , HSN (h), CP1-6 (m), R1B (m), R3B (m), R9B (m)","Sze et al., 2000"
serotonin,TPH,tph-1,Reporter transgenics,ASG 38,"Pocock & Hobert, 2010"
serotonin,TPH,tph-1,Reporter transgenics (fosmid 3 ),"NSM , ADF , HSN (h), CP1-6 (m), R1B (m), R3B (m), R9B (m)","Serrano-Saiz et al., 2017"
serotonin,TPH,tph-1,Reporter transgenics,VC4-5 (h) 33,"Mondal et al., 2018"
serotonin,Aromatic L-Amino Acid Decarboxylase (AADC) 14,bas-1,Reporter transgenics,"NSM , ADF , [ AIM , RIH ] 39 , HSN (h), CP1-6 (m), R1B (m), R3B (m), R9B (m); see also dopaminergic neurons","Hare & Loer, 2004 ; Flames & Hobert, 2009"
serotonin,GTP Cyclohydrolase I (GTPCH1),cat-4,Reporter transgenics,"NSM , ADF , HSN (h), CP1-6 (m), R1B (m), R3B (m), R9B (m); see also Dopaminergic neurons","Sze et al., 2002 ; Flames & Hobert, 2009"
serotonin,"Pyruvoyl
    Tetrahydropterin Synthase (PTPS)",ptps-1,Reporter transgenics,"NSM , ADF , HSN (h), VC4-5 (h), other unidentified cells; see also Dopaminergic neurons","Zhang et al., 2014 ; Loer et al., 2015"
