pre,post,synapses,size_sum
FLPL,SDQL,2,80334
FLPL,SDQR,1,7339
FLPR,ADAL,1,37288
FLPR,ADEL,1,52389
FLPR,ADER,1,12823
FLPR,AVAL,3,357735
FLPR,AVAR,4,292935
FLPR,AVBR,1,175916
FLPR,DVA,1,3124
FLPR,FLPL,1,2190
HSNR,ALMR,4,120456
HSNR,AVBL,3,267488
HSNR,AVBR,4,917639
HSNR,AVFL,1,94571
HSNR,AVJL,2,236489
HSNR,AVJR,2,168188
HSNR,CEPDR,1,254134
HSNR,CEPVR,1,16065
HSNR,CEPshDL,1,38566
HSNR,CEPshDR,1,26043
HSNR,CEPshVL,1,58337
HSNR,PVNL,4,232194
HSNR,PVNR,1,40956
HSNR,PVR,1,193501
HSNR,RIPL,1,18133
HSNR,RIPR,5,589743
HSNR,SIBDL,1,177097
IL1DL,BWM-DL01,5,1254887
IL1DL,BWM-DL02,4,944759
IL1DL,CEPDL,1,1904
IL1DL,IL2DL,1,11825
IL1DL,RICL,1,8172
IL1DL,RIPL,4,142593
IL1DL,RMDVL,8,1245889
IL1DL,RMEL,5,814087
IL1DL,RMHR,3,582726
IL1DL,SMDDR,1,683052
IL1DL,URADL,10,763420
IL1DL,URBL,2,329088
IL1DR,BWM-DR01,2,225666
IL1DR,BWM-DR02,5,943697
IL1DR,BWM-DR03,1,9645
IL1DR,BWM-DR04,1,1597
IL1DR,OLLR,1,29253
IL1DR,RIPR,1,155217
IL1DR,RMDDL,4,193377
IL1DR,RMDVR,5,1132646
IL1DR,RMER,2,228000
IL1DR,RMHL,2,551069
IL1DR,SMDDL,1,137555
IL1DR,URADR,3,81844
IL1DR,URBR,3,648833
IL1L,ADEL,1,3639
IL1L,BWM-DL02,2,54923
IL1L,BWM-VL02,4,263194
IL1L,OLLL,1,31419
IL1L,RICL,3,3027654
IL1L,RICR,1,1139800
IL1L,RMDDL,4,389040
IL1L,RMDDR,1,72086
IL1L,RMDL,2,379667
IL1L,RMDR,8,2631515
IL1L,RMDVL,4,232067
IL1L,RMDVR,4,168783
IL1L,RMFR,2,58722
IL1L,RMHR,10,2602988
IL1L,SIAVL,1,16200
IL1L,URAVL,1,3329
IL1L,URBL,1,92976
IL1R,BWM-DR02,2,24244
IL1R,BWM-VR02,7,454849
IL1R,RICL,1,2162400
IL1R,RICR,1,1986400
IL1R,RIS,2,12929
IL1R,RMDDR,6,285289
IL1R,RMDL,11,3858145
IL1R,RMDR,2,23092
IL1R,RMDVL,1,12697
IL1R,RMDVR,3,52762
IL1R,RMEV,1,4601
IL1R,RMFL,1,11133
IL1R,RMHL,12,1965660
IL1R,URAVR,1,91399
IL1VL,BWM-VL01,2,492491
IL1VL,BWM-VL02,1,677470
IL1VL,IL1DL,1,274494
IL1VL,IL1L,3,338459
IL1VL,IL2VL,1,61172
IL1VL,OLLL,2,441190
IL1VL,OLQVL,1,10034
IL1VL,RIPL,2,660449
IL1VL,RMDDL,6,739283
IL1VL,RMDVL,2,35504
IL1VL,RMEL,5,829530
IL1VL,RMHR,1,791903
IL1VL,URAVL,3,213721
IL1VL,URBL,2,1931100
IL1VR,BWM-VR01,6,817621
IL1VR,BWM-VR02,5,921700
IL1VR,IL1R,4,55197
IL1VR,OLLR,1,66034
IL1VR,RIPR,5,411330
IL1VR,RMDDR,10,1704193
IL1VR,RMDVL,3,447266
IL1VR,RMER,3,212811
IL1VR,RMEV,1,2459
IL1VR,RMHL,4,527682
IL1VR,URAVR,8,348939
IL1VR,URBR,4,1082366
IL2DL,AVBR,1,8736
IL2DL,GLRDL,2,206240
IL2DL,RIGL,2,844000
IL2DL,RIVL,1,141528
IL2DL,RMED,1,56960
IL2DL,SAAVL,1,171668
IL2DL,URYDL,1,100467
IL2DR,AVBR,1,40687
IL2DR,AVDR,1,124054
IL2DR,AVHR,1,4552
IL2DR,CEPshDR,1,22620
IL2DR,IL1DR,3,37895
IL2DR,OLQDR,2,114763
IL2DR,RIGR,2,441225
IL2DR,RIH,3,171580
IL2DR,RIPR,5,454428
IL2DR,RMED,2,119400
IL2DR,RMEV,1,27587
IL2DR,SAAVL,1,737501
IL2DR,SAAVR,1,357370
IL2DR,SMDDR,1,30729
IL2DR,URADR,4,301209
IL2L,AIYL,1,683614
IL2L,AUAL,1,301186
IL2L,CEPshDL,3,212847
IL2L,DVC,1,31277
IL2L,IL2VL,1,413600
IL2L,OLLL,3,26353
IL2L,OLQDL,2,41443
IL2L,OLQVL,2,380176
IL2L,RIH,5,3831317
IL2L,RMEL,1,5387
IL2L,RMER,1,26400
IL2R,ADER,1,13393
IL2R,ADFR,1,140800
IL2R,AINL,1,87731
IL2R,AUAL,1,136420
IL2R,AUAR,1,230966
IL2R,CEPshDR,2,217136
IL2R,DVC,1,62499
IL2R,GLRR,1,2087
IL2R,IL1R,4,175455
IL2R,IL2VR,4,562647
IL2R,OLLR,3,63847
IL2R,OLQVR,1,121786
IL2R,RIBR,1,168390
IL2R,RIH,6,1640501
IL2R,RIMR,1,22976
IL2R,RIPR,1,112133
IL2R,RMEL,1,15068
IL2R,URAVR,2,74304
IL2R,URBR,5,276905
IL2R,URXR,1,6681
IL2R,URYVR,1,25074
IL2VL,AIBR,1,121040
IL2VL,AVER,1,182802
IL2VL,AVKR,1,4010
IL2VL,BWM-VL01,1,27558
IL2VL,GLRVL,2,638842
IL2VL,IL1VL,1,54023
IL2VL,RIAL,1,180100
IL2VL,RIGL,4,1119227
IL2VL,RIPL,1,50219
IL2VL,RMDDL,1,7461
IL2VL,RMER,1,68181
IL2VL,URYVL,1,41737
IL2VR,AIBL,2,44996
IL2VR,CEPVR,1,5833
IL2VR,IL1VR,2,19165
IL2VR,IL2R,1,29355
IL2VR,RIAR,1,5504
IL2VR,RIGR,4,1014053
IL2VR,RIH,2,217569
IL2VR,RIPR,2,94956
IL2VR,RIVL,1,7524
IL2VR,RMEV,2,97282
IL2VR,URAVR,3,88565
OLLL,AVER,30,7316559
OLLL,CEPDL,6,443343
OLLL,CEPVL,5,719558
OLLL,CEPshVL,1,667
OLLL,IL1DL,3,390352
OLLL,IL1VL,1,58486
OLLL,IL2VL,1,20593
OLLL,OLLR,1,23040
OLLL,OLQVL,2,20801
OLLL,RIBL,10,3414667
OLLL,RMDDL,11,1335565
OLLL,RMDR,1,458400
OLLL,RMDVL,6,1394506
OLLL,RMED,7,521671
OLLL,RMEL,3,201831
OLLL,RMEV,3,154354
OLLL,RMHR,1,201634
OLLL,SMDDL,2,70925
OLLL,SMDDR,4,1064886
OLLL,SMDVL,2,488687
OLLL,SMDVR,3,2789986
OLLL,URBL,2,133564
OLLL,URYDL,1,35198
OLLL,URYVL,1,4734
OLLR,AVEL,19,2589222
OLLR,CEPDR,7,425167
OLLR,IL1DR,6,410700
OLLR,IL1VR,1,286602
OLLR,OLQDR,1,21436
OLLR,OLQVR,3,50633
OLLR,RIBR,8,1362057
OLLR,RMDDR,4,191329
OLLR,RMDVR,13,1706740
OLLR,RMED,9,732945
OLLR,SMDDL,4,851680
OLLR,SMDDR,2,251184
OLLR,SMDVL,6,1645524
OLLR,URBR,1,241968
OLLR,URYDL,1,74128
OLLR,URYVR,2,175488
OLQDL,AVER,2,195197
OLQDL,CEPshDL,3,375465
OLQDL,IL1DL,1,7056
OLQDL,OLLL,1,53702
OLQDL,RIBL,1,48894
OLQDL,RICL,1,164522
OLQDL,RICR,3,889304
OLQDL,RIH,3,436486
OLQDL,RMDDR,9,1239106
OLQDL,RMDVL,2,463598
OLQDL,RMEL,1,4314
OLQDL,RMHL,4,1246974
OLQDL,SIBVL,5,1746139
OLQDL,SMBDR,2,42044
OLQDR,CEPshDR,2,171694
OLQDR,IL2DR,1,13019
OLQDR,OLLR,1,127026
OLQDR,RIBR,1,196226
OLQDR,RICL,1,318609
OLQDR,RMDDL,6,2140583
OLQDR,RMDVR,2,400510
OLQDR,RMHL,3,686560
OLQDR,RMHR,1,379412
OLQDR,SIBVR,4,917817
OLQDR,URYDL,2,267745
OLQVL,AVER,1,348835
OLQVL,OLLL,2,382886
OLQVL,RIBL,1,259478
OLQVL,RICL,1,1034452
OLQVL,RMDVR,4,1729541
OLQVL,RMHL,1,363948
OLQVL,SIAVL,2,206289
OLQVL,SIBDL,3,1167370
OLQVR,AVEL,2,254396
OLQVR,BWM-VR06,1,12818
OLQVR,CEPVR,1,3377
OLQVR,IL1VR,1,2529
OLQVR,IL2VR,1,60335
OLQVR,OLLR,2,179906
OLQVR,PLNR,2,17928
OLQVR,RIBR,1,50746
OLQVR,RICR,2,1550274
OLQVR,RMDVL,3,1516444
OLQVR,RMHL,1,12831
OLQVR,RMHR,2,298726
OLQVR,SIAVR,1,789288
OLQVR,SIBDR,5,796191
OLQVR,SMBVR,2,438146
OLQVR,URBR,2,171513
OLQVR,URYVR,1,135752
PLNL,RIGL,1,4301
PLNL,RMDVR,1,42381
PLNL,RMGL,3,199988
PLNL,RMHR,1,46899
PLNL,SAADL,10,1171041
PLNL,SMBVL,8,839237
PLNL,SMDVR,2,3353
PLNR,BWM-VR06,1,3516
PLNR,RIH,2,52491
PLNR,RMGR,3,219359
PLNR,SAADR,9,1330922
PLNR,SMBVR,7,713837
PLNR,SMDVL,2,233476
PVCL,ALML,1,5938
PVCL,AQR,3,167112
PVCL,AVBL,1,155978
PVCL,AVBR,4,617362
PVCL,AVDR,3,186184
PVCL,AVEL,1,371891
PVCL,AVJL,1,241779
PVCL,AVJR,1,35346
PVCL,AVM,1,90918
PVCL,PVPL,3,104088
PVCL,RID,2,195404
PVCR,AVAR,3,323034
PVCR,AVBL,1,258897
PVCR,AVBR,5,372479
PVCR,AVDL,3,692580
PVCR,AVER,2,203128
PVCR,AVJL,3,304282
PVNL,ALML,1,184993
PVNL,ALMR,1,97686
PVNL,AVBL,1,35755
PVNL,AVBR,1,65856
PVNL,AVM,1,305133
PVNL,BDUR,1,75788
PVNL,BWM-VL07,1,5298
PVNL,CEPVL,1,150015
PVNL,CEPVR,1,80125
PVNL,CEPshVL,1,433102
PVNL,CEPshVR,1,23200
PVNL,HSNR,1,12437
PVNL,RIPR,2,244212
PVNR,AVFL,1,180310
PVNR,CEPshDL,1,86426
PVNR,CEPshVR,1,136042
PVNR,HSNR,1,74358
PVNR,RIFL,1,154865
PVPL,ADAL,1,14346
PVPL,AIBR,1,213298
PVPL,AVAR,1,78498
PVPL,AVBL,3,491661
PVPL,AVBR,2,366338
PVPL,AVDR,1,101732
PVPL,AVM,1,37667
PVPL,DVA,1,137654
PVPL,PVCL,3,361044
PVPL,RIFL,1,57368
PVPL,RIML,1,100394
PVPR,AIBL,1,20848
PVPR,AQR,1,38629
PVPR,AVBL,5,511974
PVPR,AVBR,2,377315
PVPR,AVDL,1,29339
PVPR,AVDR,1,62451
PVPR,AVJL,1,146572
PVPR,DVA,1,34957
PVPR,PVCR,3,141972
PVPR,RICL,1,263342
PVPR,RIGR,3,381906
PVPR,URXR,1,26696
PVQL,AIAL,3,296419
PVQL,AIML,1,24500
PVQL,ALA,1,26970
PVQL,ASJL,3,196171
PVQL,ASKL,8,393014
PVQL,AVFL,4,235174
PVQL,AWAL,1,50995
PVQL,BDUL,1,11922
PVQL,RIPL,6,625795
PVQL,RMGL,2,34240
PVQR,AIAR,2,441017
PVQR,ASER,1,118193
PVQR,ASKR,2,176862
PVQR,AVFR,1,3219
PVQR,AWAR,1,100502
PVQR,BDUR,3,428789
PVQR,CEPshVR,2,69013
PVQR,RIPR,4,536078
PVQR,RMGR,3,206328
PVR,AVBL,4,262709
PVR,AVBR,7,845315
PVR,AVJL,4,383221
PVR,AVJR,6,603829
PVR,BWM-VR07,1,1618
PVR,CEPVL,1,77761
PVR,CEPVR,1,41819
PVR,CEPshVR,1,124745
PVR,IL1VL,1,85439
PVR,IL1VR,1,357944
PVR,PVCL,1,785
PVR,RIPL,2,43630
PVR,RIPR,3,497550
PVR,SDQR,1,3237
PVT,AVBL,1,84325
PVT,AVKL,6,468875
PVT,AVKR,4,357933
PVT,AVL,1,45049
PVT,CEPshDL,1,90565
PVT,DVC,6,272961
PVT,OLQVR,1,6741
PVT,RIBL,2,278847
PVT,RIGL,2,209099
PVT,RIVL,2,47960
PVT,RIVR,1,1502
PVT,RMEL,2,128982
PVT,RMFL,5,634371
PVT,RMFR,4,844193
PVT,RMHL,2,324712
PVT,RMHR,1,2285
RIAL,CEPDL,3,98975
RIAL,CEPVL,1,2517
RIAL,RIAR,21,1923604
RIAL,RIVL,4,419635
RIAL,RMDDL,12,1820411
RIAL,RMDDR,9,2455821
RIAL,RMDL,16,3469945
RIAL,RMDR,11,2657178
RIAL,RMDVL,15,2804487
RIAL,RMDVR,12,2246490
RIAL,RMFL,1,156552
RIAL,SIADL,3,141112
RIAL,SIADR,1,209641
RIAL,SIAVL,1,5442
RIAL,SIAVR,9,371534
RIAL,SMDDL,9,3044439
RIAL,SMDDR,16,3377472
RIAL,SMDVL,11,1338077
RIAL,SMDVR,9,2507070
RIAR,CEPDR,2,137379
RIAR,CEPVR,2,84242
RIAR,IL1L,3,185177
RIAR,RIAL,27,2028540
RIAR,RIVL,3,267434
RIAR,RIVR,3,326878
RIAR,RMDDL,12,1472967
RIAR,RMDDR,16,1983958
RIAR,RMDL,9,1160122
RIAR,RMDR,11,1963606
RIAR,RMDVL,14,2334937
RIAR,RMDVR,14,2578246
RIAR,SIADL,6,838250
RIAR,SIADR,8,716783
RIAR,SIAVL,4,458827
RIAR,SIBDL,1,46719
RIAR,SMDDL,8,637766
RIAR,SMDDR,18,3529628
RIAR,SMDVL,20,3728227
RIAR,SMDVR,10,1361923
RIBL,AIBR,1,288291
RIBL,AUAL,1,32358
RIBL,AUAR,1,7602
RIBL,AVAL,2,223724
RIBL,AVEL,4,433855
RIBL,AVER,6,581865
RIBL,BAGR,9,774311
RIBL,CEPDL,2,5585
RIBL,IL2VL,1,48821
RIBL,OLLL,3,175844
RIBL,RIAL,3,423811
RIBL,RIGL,1,182400
RIBL,SMDDR,1,207051
RIBL,SMDVR,2,108516
RIBL,URAVL,1,100318
RIBL,URYDL,1,48048
RIBR,AIBL,1,33752
RIBR,AINL,1,201413
RIBR,AVAR,2,136033
RIBR,AVEL,3,435129
RIBR,AVER,1,108919
RIBR,BAGL,5,470112
RIBR,CEPshVR,1,31071
RIBR,DVC,1,71835
RIBR,RIAR,3,137328
RIBR,RIGR,1,223280
RIBR,RIMR,2,223058
RIBR,RIS,1,6613
RIBR,SMDVL,2,244658
RICL,ADAL,2,550246
RICL,ADAR,1,49675
RICL,AVAR,2,211397
RICL,AVBL,7,4276646
RICL,AVBR,7,3829191
RICL,AVJR,2,140011
RICL,CEPVR,1,15053
RICL,RICR,3,144991
RICL,RIML,2,101745
RICL,SIBDR,1,154258
RICL,SMBVL,1,165600
RICL,SMDDL,2,164604
RICL,SMDDR,1,1389
RICL,SMDVR,2,103855
RICL,URYDL,1,79997
RICL,URYVR,1,397743
RICR,ADAL,4,348741
RICR,ADAR,3,130334
RICR,ASHR,1,25728
RICR,AVBL,8,2890467
RICR,AVBR,12,4880736
RICR,AVER,2,178861
RICR,AVJL,4,958224
RICR,CEPVR,2,285402
RICR,PVR,1,9523
RICR,RICL,2,93324
RICR,RIVL,1,2174
RICR,RMGR,1,19541
RICR,SIBVL,1,97681
RICR,URXR,1,1667
RIFL,ADAL,5,244777
RIFL,ADFL,1,83042
RIFL,AIML,2,3086
RIFL,AIZL,2,136676
RIFL,ASHL,3,155144
RIFL,AVBL,6,1182462
RIFL,AVBR,1,220780
RIFL,AVHL,1,32422
RIFL,AVJL,1,242162
RIFL,BDUL,3,302588
RIFL,HSNR,1,121081
RIFL,PVNL,1,28444
RIFL,RIML,4,338392
RIFL,RIPR,1,203482
RIFL,RMGL,2,230162
RIFL,SDQL,1,20100
RIFR,ADAR,7,708617
RIFR,ADFR,2,14232
RIFR,AIAR,1,2244
RIFR,ALMR,1,5182
RIFR,ASHR,6,495654
RIFR,AVBL,1,161145
RIFR,AVBR,4,257246
RIFR,AVHL,4,188126
RIFR,AVHR,1,5997
RIFR,AVJL,1,24172
RIFR,AVJR,1,123064
RIFR,AWAR,1,37548
RIFR,BDUR,5,262406
RIFR,PVPR,1,139646
RIFR,RIFL,1,106586
RIFR,RIMR,2,225335
RIFR,RIPR,1,101684
RIFR,RIR,1,4137
RIFR,RMGR,1,37780
RIGL,AIZL,5,945527
RIGL,AIZR,1,100634
RIGL,ALNL,7,953596
RIGL,AVEL,3,949049
RIGL,AVER,4,467508
RIGL,AVKR,2,3442085
RIGL,BAGR,3,118391
RIGL,CEPshVL,2,73392
RIGL,DVC,3,273975
RIGL,PLNL,1,395390
RIGL,PVPL,1,292519
RIGL,PVT,1,5998
RIGL,RIAL,1,149737
RIGL,RIBL,3,220425
RIGL,RIGR,1,49864
RIGL,RIML,1,9531
RIGL,RIR,3,943427
RIGL,RMFL,2,166438
RIGL,RMHR,5,2573730
RIGL,URXL,3,488785
RIGR,AIZR,3,825313
RIGR,ALNR,4,381240
RIGR,AVDL,1,2260
RIGR,AVEL,1,9724
RIGR,AVER,2,204413
RIGR,AVKL,5,3788612
RIGR,BAGL,3,74861
RIGR,DVA,1,63900
RIGR,DVC,3,130120
RIGR,PVPR,1,212075
RIGR,RIAR,1,21871
RIGR,RIBR,1,317459
RIGR,RIR,2,783176
RIGR,RMHL,5,1840028
RIGR,URXR,3,273525
RIGR,URYVR,1,21021
RIH,AIYR,2,205385
RIH,AIZL,4,501089
RIH,AIZR,5,838744
RIH,BAGL,2,407170
RIH,BAGR,1,25439
RIH,CEPDL,4,320348
RIH,CEPDR,3,132289
RIH,CEPshDL,1,7465
RIH,CEPshDR,1,15835
RIH,CEPshVR,3,73491
RIH,DVC,5,289843
RIH,GLRDR,1,23608
RIH,GLRL,1,78542
RIH,GLRVL,1,315974
RIH,IL1DR,2,30532
RIH,IL1VL,1,8835
RIH,IL2DL,4,590454
RIH,IL2DR,4,604778
RIH,IL2L,3,219805
RIH,IL2VL,3,156989
RIH,OLQDL,2,168311
RIH,OLQDR,2,357640
RIH,OLQVL,6,752046
RIH,OLQVR,3,304735
RIH,RIAL,1,21151
RIH,RIAR,10,1112341
RIH,RIBR,2,142543
RIH,RIML,2,511523
RIH,RIPL,5,676822
RIH,RIPR,4,203265
RIH,RMED,2,120260
RIH,RMEL,2,199782
RIH,SMBVL,2,163388
RIH,URXL,2,216718
RIH,URXR,5,871948
RIH,URYDL,3,483671
RIH,URYVL,3,472843
RIML,AIBR,1,12253
RIML,AVBL,2,661496
RIML,AVBR,4,505568
RIML,AVDR,1,60245
RIML,BWM-DR04,2,942464
RIML,BWM-VR04,7,938707
RIML,PVCL,2,1221459
RIML,RIAL,1,16839
RIML,RIBL,3,236580
RIML,RIBR,3,214818
RIML,RIS,1,20847
RIML,RMDL,4,1180001
RIML,RMDR,9,2844998
RIML,RMFL,4,126803
RIML,RMGR,1,36217
RIML,SAADL,1,172053
RIML,SAADR,2,144717
RIML,SAAVR,4,782041
RIML,SMDDL,6,1259955
RIML,SMDDR,4,354102
RIML,SMDVL,5,596693
RIML,SMDVR,4,266347
RIMR,AIBL,5,233229
RIMR,AVBL,5,493622
RIMR,BWM-DL04,3,1060286
RIMR,BWM-DL06,2,108876
RIMR,BWM-VL04,3,893462
RIMR,BWM-VL06,1,40839
RIMR,RIBL,3,306215
RIMR,RIBR,4,352128
RIMR,RIFR,1,116000
RIMR,RMDL,7,3085010
RIMR,RMDR,6,967641
RIMR,RMEV,2,78740
RIMR,RMFR,3,122492
RIMR,SAADR,2,124605
RIMR,SAAVL,4,558381
RIMR,SAAVR,1,57270
RIMR,SMDDL,3,15338
RIMR,SMDDR,7,1052921
RIMR,SMDVL,5,261468
RIMR,SMDVR,4,1503477
RIPL,IL2VL,1,31732
RIPL,RMER,1,19790
RIPL,URAVL,1,30879
RIPR,URAVR,1,150400
RIR,ADFL,1,24756
RIR,AIYL,1,64438
RIR,AIYR,2,36645
RIR,AIZL,3,129180
RIR,AQR,2,95927
RIR,AUAR,1,17942
RIR,AVEL,1,155551
RIR,BAGL,3,469009
RIR,BAGR,6,624954
RIR,DVA,2,34849
RIR,RIAL,8,1032287
RIR,RIAR,3,389277
RIR,URXL,2,479586
RIS,AVEL,7,740664
RIS,AVER,11,917000
RIS,AVKL,3,33504
RIS,AVKR,1,54245
RIS,AVL,1,1081
RIS,CEPDL,2,336530
RIS,CEPDR,2,206990
RIS,CEPVL,1,151022
RIS,CEPVR,3,108700
RIS,CEPshDL,2,55462
RIS,CEPshVL,3,21804
RIS,OLQVL,1,24681
RIS,RIBL,9,1644393
RIS,RIBR,9,439241
RIS,RIH,1,9860
RIS,RIML,2,71698
RIS,RIMR,5,323889
RIS,RMDL,5,292998
RIS,RMDR,5,746740
RIS,RMED,5,391006
RIS,RMEL,1,385147
RIS,SMDDL,4,249300
RIS,SMDDR,3,363155
RIS,SMDVL,2,148419
RIS,SMDVR,2,97671
RIVL,BWM-VR05,1,9541
RIVL,BWM-VR07,4,492130
RIVL,GLRVR,2,108400
RIVL,PLNR,1,65668
RIVL,RIAL,1,62400
RIVL,RIH,2,54205
RIVL,RIVR,2,192557
RIVL,RMDVL,3,44424
RIVL,SAADR,2,933191
RIVL,SIAVR,1,4104
RIVL,SMBVR,1,95630
RIVL,exc_duct,1,4151
RIVR,BWM-VR07,1,89921
RIVR,GLRVR,1,12499
RIVR,PLNL,1,223527
RIVR,RIAL,1,173213
RIVR,RIAR,2,71423
RIVR,RIH,2,653881
RIVR,RIVL,1,80780
RIVR,RMDR,4,396434
RIVR,RMHL,1,29678
RIVR,SAADL,5,1479212
RIVR,SAAVR,2,18625
RIVR,SDQL,1,34661
RIVR,SIAVL,1,69900
RIVR,SMDDL,2,228137
RIVR,SMDDR,1,13743
RIVR,SMDVR,5,381166
RMDDL,BWM-DL03,1,4092
RMDDL,BWM-DL05,1,51220
RMDDL,BWM-DR01,7,1483210
RMDDL,BWM-DR02,5,449583
RMDDL,BWM-DR03,7,532324
RMDDL,BWM-DR04,4,960937
RMDDL,BWM-DR05,2,12195
RMDDL,RMDDR,1,780
RMDDL,RMDVR,6,2813471
RMDDL,RMED,2,174656
RMDDL,RMEL,1,48924
RMDDL,RMEV,1,14308
RMDDL,SMBDL,1,6197
RMDDL,URADR,2,164905
RMDDR,BWM-DL01,6,1246521
RMDDR,BWM-DL02,9,370126
RMDDR,BWM-DL03,5,1141903
RMDDR,BWM-DL04,9,461811
RMDDR,BWM-DL05,3,323583
RMDDR,GLRL,1,16826
RMDDR,IL1DL,1,618
RMDDR,IL1L,1,38315
RMDDR,RMDVL,7,2340719
RMDDR,RMGL,2,11934
RMDDR,SMBDR,1,7577
RMDDR,URADL,3,80069
RMDL,BWM-DR02,2,1002458
RMDL,BWM-DR04,3,598781
RMDL,BWM-VR02,1,510801
RMDL,BWM-VR04,2,80909
RMDL,BWM-VR06,1,52288
RMDL,BWM-VR08,1,273936
RMDL,CEPDR,1,211187
RMDL,IL1R,3,996172
RMDL,RIAL,4,1361133
RMDL,RIAR,5,761019
RMDL,RIML,2,114127
RMDL,RMDDL,2,76335
RMDL,RMDDR,2,99891
RMDL,RMDR,4,753200
RMDL,RMFL,3,418434
RMDL,RMHL,1,197327
RMDR,BWM-DL04,8,566989
RMDR,BWM-DL06,1,2254
RMDR,BWM-VL02,1,614413
RMDR,BWM-VL04,4,162587
RMDR,BWM-VL06,1,103948
RMDR,CEPVL,1,128856
RMDR,IL1L,2,681650
RMDR,RIAL,7,2133107
RMDR,RIAR,9,1724900
RMDR,RIMR,1,78932
RMDR,RIVR,1,88052
RMDR,RMDDL,2,158628
RMDR,RMDDR,2,199663
RMDR,RMDL,6,925792
RMDR,RMDVL,3,208766
RMDR,RMER,6,401188
RMDR,RMFR,4,582010
RMDR,RMGL,3,82183
RMDR,RMHR,2,368405
RMDR,SIBVL,2,205279
RMDVL,BWM-VL03,1,60848
RMDVL,BWM-VR01,3,387450
RMDVL,BWM-VR02,3,639517
RMDVL,BWM-VR03,3,352644
RMDVL,BWM-VR04,3,585870
RMDVL,BWM-VR05,4,168899
RMDVL,IL1R,1,103383
RMDVL,IL1VR,1,24601
RMDVL,RMDDR,9,1837588
RMDVL,RMDVR,1,16316
RMDVL,RMED,1,265514
RMDVL,SMDDL,1,46477
RMDVL,URAVL,1,142893
RMDVR,BWM-VL01,5,796179
RMDVR,BWM-VL02,2,605556
RMDVR,BWM-VL03,4,519983
RMDVR,BWM-VL04,3,516900
RMDVR,BWM-VL05,2,27931
RMDVR,BWM-VR01,1,44383
RMDVR,BWM-VR03,1,4111
RMDVR,IL1L,1,43373
RMDVR,IL1VL,2,229559
RMDVR,RMDDL,9,2197056
RMDVR,RMED,1,836
RMDVR,URAVL,1,8534
RMED,BWM-VL01,6,747751
RMED,BWM-VL03,3,261157
RMED,BWM-VR01,8,1864124
RMED,BWM-VR02,2,624190
RMED,BWM-VR03,1,251017
RMED,BWM-VR07,1,106623
RMED,RMDVL,12,1230681
RMED,RMDVR,5,580302
RMED,RMEL,3,160497
RMED,RMEV,1,1015
RMED,SMDDL,5,308312
RMED,SMDDR,4,402584
RMED,SMDVL,1,3454
RMED,SMDVR,1,9774
RMED,URAVL,1,1691
RMED,URAVR,6,338833
RMEL,BWM-DR02,14,3410988
RMEL,BWM-DR04,2,24384
RMEL,BWM-VR01,1,3796
RMEL,BWM-VR02,17,2656278
RMEL,GLRR,2,19193
RMEL,GLRVR,2,12890
RMEL,IL2VR,2,130337
RMEL,RMDDL,1,57883
RMEL,RMDR,2,232496
RMEL,RMHL,2,95657
RMEL,URADR,1,2460
RMEL,URAVR,2,139241
RMER,ADEL,1,7916
RMER,BWM-DL02,17,2612370
RMER,BWM-DL04,1,10002
RMER,BWM-VL02,16,2828900
RMER,BWM-VL04,2,102094
RMER,GLRVL,1,145830
RMER,IL2L,1,47206
RMER,RMDL,2,28553
RMER,RMFR,1,8143
RMER,URAVL,1,26588
RMEV,BWM-DL01,8,1730333
RMEV,BWM-DL03,4,405989
RMEV,BWM-DR01,4,1017482
RMEV,BWM-DR03,3,381219
RMEV,RMDDL,10,1917056
RMEV,RMDDR,2,96032
RMEV,RMED,1,4835
RMEV,RMEL,2,80324
RMEV,SMDVL,6,1035387
RMEV,SMDVR,5,788953
RMEV,URADR,2,57589
RMFL,AVKL,2,119588
RMFL,AVKR,6,855415
RMFL,AVL,1,52087
RMFL,BWM-DR02,7,450376
RMFL,BWM-DR04,3,195271
RMFL,BWM-VR02,5,309265
RMFL,BWM-VR04,2,104269
RMFL,CEPshVR,1,30357
RMFL,PVT,3,62924
RMFL,RIH,1,60491
RMFL,RMDL,4,190866
RMFL,RMDR,12,2228020
RMFL,RMGR,2,532351
RMFL,RMHL,5,586013
RMFL,SAADL,1,21109
RMFR,AVKR,1,19200
RMFR,BWM-DL02,5,564861
RMFR,BWM-DL04,4,659117
RMFR,BWM-VL02,2,196931
RMFR,BWM-VL04,1,20391
RMFR,IL1L,2,223581
RMFR,RMDL,10,1064075
RMFR,RMDR,3,63139
RMFR,RMER,3,67513
RMFR,RMGL,5,247100
RMFR,RMHR,9,703691
RMGL,AVAL,1,7029
RMGL,AVDR,1,78795
RMGL,AVEL,2,126349
RMGL,AVJR,2,245786
RMGL,BWM-DL04,1,270523
RMGL,BWM-DL06,1,58277
RMGL,BWM-VL04,6,641587
RMGL,BWM-VL06,7,782587
RMGL,PLNL,1,6213
RMGL,RIAR,1,9352
RMGL,RID,1,66010
RMGL,RIMR,1,2662
RMGL,RMDL,2,94959
RMGL,RMDR,4,478017
RMGL,RMDVL,2,630498
RMGL,RMDVR,1,126615
RMGL,RMFR,1,51664
RMGL,RMHL,2,247079
RMGR,AIBL,1,161691
RMGR,AVBR,1,33637
RMGR,AVER,1,94183
